BJD - 2454833, Corrected Flux
2325.285397234, 0.998994035,
2325.305829022, 0.999010283,
2325.326260809, 0.999038942,
2325.346692896, 0.999026469,
2325.367124683, 0.999052688,
2325.387556469, 0.999079916,
2325.407988255, 0.999049460,
2325.428419941, 0.999091973,
2325.448851827, 0.999081170,
2325.469283612, 0.999051704,
2325.489715298, 0.999041500,
2325.510147182, 0.999004935,
2325.530578967, 0.998983247,
2325.551010652, 0.998980283,
2325.571442536, 0.999063344,
2325.591874320, 0.999045075,
2325.612306004, 0.999197130,
2325.632737887, 0.999098269,
2325.653169670, 0.999221041,
2325.694033236, 0.999061198,
2325.714465019, 0.999092928,
2325.734896901, 0.999095880,
2325.755328583, 0.999074851,
2325.775760365, 0.999086452,
2325.796192246, 0.999092213,
2325.816623928, 0.999105755,
2325.837055709, 0.999055429,
2325.857487590, 0.999169201,
2325.877919370, 0.999101417,
2325.898351051, 0.999083142,
2325.918782931, 0.999113368,
2325.939214711, 0.999077936,
2325.959646390, 0.999061246,
2325.980078270, 0.999117233,
2326.000510049, 0.999119095,
2326.020941728, 0.999101408,
2326.041373607, 0.999146432,
2326.061805385, 0.999086078,
2326.082237263, 0.999133338,
2326.102668941, 0.999102709,
2326.123100719, 0.999112637,
2326.143532496, 0.999098035,
2326.204827827, 0.999158388,
2326.225259604, 0.999079060,
2326.245691380, 0.999100997,
2326.266123156, 0.999120580,
2326.286554932, 0.999044906,
2326.306986708, 0.999070568,
2326.327418483, 0.999093964,
2326.347850259, 0.999101110,
2326.368282033, 0.999114657,
2326.388713908, 0.999080744,
2326.409145583, 0.999057573,
2326.429577457, 0.999104009,
2326.450009231, 0.999073449,
2326.470440904, 0.999112662,
2326.490872778, 0.999065831,
2326.511304551, 0.999101787,
2326.531736224, 0.999155987,
2326.552168097, 0.999163414,
2326.572599870, 0.999213894,
2326.593031542, 0.999151349,
2326.613463414, 0.999195495,
2326.633895186, 0.999211166,
2326.654326858, 0.999197927,
2326.674758729, 0.999193246,
2326.695190500, 0.999160292,
2326.715622271, 0.999084349,
2326.736054042, 0.999085961,
2326.756485812, 0.999151127,
2326.776917582, 0.999203590,
2326.797349353, 0.999119503,
2326.817781122, 0.999109442,
2326.838212992, 0.999145120,
2326.858644661, 0.999159340,
2326.879076430, 0.999064868,
2326.919939968, 0.999173905,
2326.940371736, 0.999144829,
2326.960803604, 0.999224697,
2326.981235272, 0.999125937,
2327.001667040, 0.999152697,
2327.022098908, 0.999143223,
2327.042530575, 0.999129634,
2327.062962342, 0.999154778,
2327.083394209, 0.999177563,
2327.103825875, 0.999208051,
2327.124257642, 0.999198788,
2327.144689508, 0.999222613,
2327.165121174, 0.999200484,
2327.185553040, 0.999258136,
2327.205984805, 0.999172694,
2327.226416570, 0.999220565,
2327.246848335, 0.999181084,
2327.267280100, 0.999158605,
2327.287711865, 0.999078859,
2327.308143629, 0.999223242,
2327.328575393, 0.999152765,
2327.349007157, 0.999059496,
2327.369439020, 0.999208278,
2327.410302447, 0.999187076,
2327.430734310, 0.999159256,
2327.451165973, 0.999204283,
2327.471597736, 0.999183071,
2327.492029598, 0.999216492,
2327.512461260, 0.999190836,
